Date	USD_sqF	year	months_since_Jan2012
Jan 2012	253	2012	1
Feb 2012	255	2012	2
Mar 2012	256	2012	3
Apr 2012	260	2012	4
May 2012	254	2012	5
Jun 2012	252	2012	6
Jul 2012	249	2012	7
Aug 2012	248	2012	8
Sep 2012	246	2012	9
Oct 2012	249	2012	10
Nov 2012	260	2012	11
Dec 2012	262	2012	12
Jan 2013	266	2013	13
Feb 2013	271	2013	14
Mar 2013	273	2013	15
Apr 2013	273	2013	16
May 2013	273	2013	17
Jun 2013	269	2013	18
Jul 2013	273	2013	19
Aug 2013	270	2013	20
Sep 2013	271	2013	21
Oct 2013	274	2013	22
Nov 2013	275	2013	23
Dec 2013	279	2013	24
Jan 2014	285	2014	25
Feb 2014	296	2014	26
Mar 2014	298	2014	27
Apr 2014	294	2014	28
May 2014	299	2014	29
Jun 2014	297	2014	30
Jul 2014	298	2014	31
Aug 2014	294	2014	32
Sep 2014	299	2014	33
Oct 2014	300	2014	34
Nov 2014	304	2014	35
Dec 2014	315	2014	36
Jan 2015	336	2015	37
Feb 2015	332	2015	38
Mar 2015	322	2015	39
Apr 2015	319	2015	40
May 2015	319	2015	41
Jun 2015	318	2015	42
Jul 2015	329	2015	43
Aug 2015	333	2015	44
Sep 2015	339	2015	45
Oct 2015	340	2015	46
Nov 2015	342	2015	47
Dec 2015	352	2015	48
Jan 2016	354	2016	49
Feb 2016	365	2016	50
Mar 2016	367	2016	51
Apr 2016	366	2016	52
May 2016	372	2016	53
Jun 2016	384	2016	54
Jul 2016	384	2016	55
Aug 2016	371	2016	56
Sep 2016	376	2016	57
Oct 2016	389	2016	58
Nov 2016	395	2016	59
Dec 2016	410	2016	60
Jan 2017	414	2017	61
Feb 2017	417	2017	62

